crash_date,crash_time,borough,zip_code,latitude,longitude,on_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,vehicle_type_code_1,vehicle_type_code_2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5
2020-12-03,13:37:00,Manhattan,10025,40.798504,-73.967125,West 103 Street,Unknown,1,0,1,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified
2020-12-02,19:00:00,Queens,11001,40.731167,-73.70994,256 Street,87 Avenue,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Taxi,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-30,09:40:00,Queens,11375,40.73555,-73.85096999999999,62-60 108 Street,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-29,05:45:00,Brooklyn,11201,40.701527,-73.98957,Brooklyn Queens Expressway,Unknown,0,0,0,0,0,0,0,0,Fell Asleep,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-26,23:30:00,Brooklyn,11206,40.700108,-73.95383000000001,Wallabout Street,Unknown,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-11-23,11:28:00,Brooklyn,11215,40.668293,-73.97924,6 Street,Unknown,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-22,20:10:00,Staten Island,10302,40.62464,-74.14166999999999,Forest Avenue,Decker Avenue,1,0,1,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-20,12:00:00,Brooklyn,11213,40.677483,-73.93033,Utica Avenue,Unknown,1,0,0,0,1,0,0,0,Other Vehicular,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Taxi,Bike,Unspecified,Unspecified,Unspecified
2020-11-18,11:00:00,Manhattan,10010,40.736706,-73.97822,East 23 Street,Unknown,1,0,1,0,0,0,0,0,Turning Improperly,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified
2017-01-17,03:02:00,Unknown,-1,40.608757000000004,-74.03808599999999,Verrazano Bridge Lower,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-18,22:17:00,Bronx,10464,40.87356,-73.81853000000001,Hutchinson River Parkway,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-18,07:30:00,Staten Island,10306,40.566967,-74.11328,Hylan Boulevard,Unknown,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-18,09:37:00,Bronx,10463,40.879807,-73.906586,West 231 Street,Kingsbridge Avenue,1,0,1,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Box Truck,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-17,08:56:00,Bronx,10457,40.845943,-73.89218000000001,East Tremont Avenue,Unknown,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,E-Bike,Unspecified,Unspecified,Unspecified
2020-11-09,11:50:00,Brooklyn,11222,40.737286,-73.95543,Manhattan Avenue,Box Street,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Motorcycle,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-09,18:35:00,Bronx,10451,40.811638,-73.9316,Major Deegan Expressway,Unknown,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-11-09,09:45:00,Queens,11429,40.715454,-73.731,222 Street,100 Avenue,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-11-08,01:40:00,Bronx,10456,40.835409999999996,-73.9154,East 168 Street,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Other,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-08,04:30:00,Queens,11375,40.71702,-73.830505,Grand Central Pkwy,Unknown,0,0,0,0,0,0,0,0,Other Vehicular,Following Too Closely,Unspecified,Unspecified,Unspecified,Taxi,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified
2020-11-07,22:09:00,Unknown,-1,40.755221999999996,-73.96135,Fdr Drive,Unknown,0,0,0,0,0,0,0,0,Following Too Closely,Following Too Closely,Unspecified,Unspecified,Unspecified,Sedan,Taxi,Sedan,Unspecified,Unspecified
2020-11-07,06:15:00,Queens,11413,40.67102,-73.74893,225 Street,139 Avenue,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-11-06,15:00:00,Brooklyn,11203,40.65806,-73.93496999999999,Winthrop Street,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-02,16:10:00,Manhattan,10027,40.811478,-73.950226,West 127 Street,Unknown,1,0,1,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-11-02,17:30:00,Bronx,10457,40.851467,-73.89556999999999,East 180 Street,Washington Avenue,0,0,0,0,0,0,0,0,Failure To Yield Right-Of-Way,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified
2020-11-01,16:15:00,Bronx,10456,40.830936,-73.91241,East 167 Street,Unknown,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-11-01,05:40:00,Queens,11105,40.77962,-73.90614000000001,31-01 20 Avenue,Unknown,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,Unspecified
2020-10-31,19:40:00,Brooklyn,11226,40.652985,-73.95806,Caton Avenue,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-10-31,01:35:00,Queens,11413,40.66552,-73.74467,Belt Parkway,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-10-30,10:52:00,Manhattan,10024,40.794827000000005,-73.97624,West 94 Street,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-10-28,08:00:00,Bronx,10467,40.870106,-73.87872,Webster Avenue,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-10-25,16:10:00,Queens,11417,40.67389,-73.85321,133 Avenue,83 Street,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-10-24,16:46:00,Manhattan,10039,40.831978,-73.93515,Harlem River Drive,Unknown,2,0,0,0,0,0,2,0,Other Vehicular,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-10-24,18:32:00,Brooklyn,11230,40.633316,-73.96469,Foster Avenue,Unknown,1,0,0,0,1,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Bike,Unspecified,Unspecified,Unspecified
2020-10-24,09:46:00,Brooklyn,11211,40.718967,-73.95052,Bayard Street,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-10-22,20:24:00,Brooklyn,11236,40.628597,-73.9024,East 80 Street,Paerdegat 13 Street,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Motorcycle,Unspecified,Unspecified,Unspecified
2020-10-21,16:17:00,Brooklyn,11233,40.6831,-73.93209,Stuyvesant Avenue,Unknown,2,0,0,0,0,0,2,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-10-21,06:30:00,Manhattan,10032,40.835358,-73.94022,Amsterdam Avenue,West 161 Street,0,0,0,0,0,0,0,0,Drugs (Illegal),Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-10-19,02:00:00,Bronx,10472,40.829906,-73.85497,Haviland Avenue,Unknown,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified
2020-10-17,10:32:00,Bronx,10468,40.86165,-73.91076,West Fordham Road,Unknown,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-10-17,15:30:00,Staten Island,10303,40.635014,-74.158035,Union Avenue,Unknown,1,0,1,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-10-16,12:39:00,Brooklyn,11238,40.675755,-73.97143,8 Avenue,Flatbush Avenue,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Box Truck,Unspecified,Unspecified,Unspecified
2020-10-16,18:30:00,Bronx,10469,40.870315999999995,-73.8576,Hone Avenue,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-10-11,10:20:00,Brooklyn,11237,40.7025,-73.91633,Wyckoff Avenue,Unknown,0,0,0,0,0,0,0,0,Reaction To Uninvolved Vehicle,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Other,Unspecified,Unspecified,Unspecified
2020-10-10,00:04:00,Staten Island,10304,40.608955,-74.09046,Staten Island Expressway,Unknown,3,0,0,0,0,0,3,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-10-10,18:19:00,Queens,11375,40.71976,-73.84369000000001,Austin Street,71 Road,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-10-08,21:14:00,Manhattan,10032,40.848793,-73.94358000000001,Henry Hudson Parkway,Unknown,0,0,0,1,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified
2020-10-06,10:50:00,Brooklyn,11218,40.652733000000005,-73.97609,Prospect Avenue,Unknown,1,0,1,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-10-05,18:51:00,Bronx,10462,40.846466,-73.87123000000001,Bronx River Parkway,Unknown,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,Other,Unspecified,Unspecified,Unspecified,Unspecified
2020-10-04,13:20:00,Bronx,10452,40.843903000000005,-73.927284,Major Deegan Expressway,Unknown,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Pick-Up Truck,Sedan,Unspecified,Unspecified
2020-10-04,04:40:00,Bronx,10460,40.842259999999996,-73.87228,Bronx River Parkway,Unknown,1,0,0,0,0,0,1,0,Other Vehicular,Unspecified,Unspecified,Unspecified,Unspecified,Pick-Up Truck,Unspecified,Unspecified,Unspecified,Unspecified
2020-10-02,17:30:00,Staten Island,10306,40.574158000000004,-74.11669,New Dorp Lane,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-10-01,22:45:00,Manhattan,10017,40.749825,-73.972206,East 42 Street,2 Avenue,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-09-30,17:00:00,Brooklyn,11223,40.603264,-73.98076,West 8 Street,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-09-30,03:07:00,Manhattan,10029,40.784325,-73.94225,Fdr Drive,Unknown,2,0,0,0,0,0,2,0,Pavement Slippery,Unspecified,Unspecified,Unspecified,Unspecified,Other,Unspecified,Unspecified,Unspecified,Unspecified
2020-09-29,15:40:00,Manhattan,10025,40.79356,-73.96701999999999,Columbus Avenue,Unknown,1,0,1,0,0,0,0,0,Driver Inexperience,Unspecified,Unspecified,Unspecified,Unspecified,Taxi,Unspecified,Unspecified,Unspecified,Unspecified
2020-09-26,10:00:00,Queens,11428,40.715694,-73.75543,93-29 Francis Lewis Boulevard,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-09-24,14:30:00,Bronx,10451,40.823456,-73.92444,Grand Concourse,Unknown,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified
2020-09-23,12:42:00,Queens,11385,40.689617,-73.8905,Jackie Robinson Pkwy,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-09-23,19:30:00,Queens,11358,40.770382,-73.792244,Utopia Parkway,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-09-23,06:30:00,Bronx,10471,40.91032,-73.89764,West 262 Street,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-09-22,18:00:00,Queens,11435,40.703520000000005,-73.805115,90-10 150 Street,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-09-22,08:10:00,Brooklyn,11233,40.687003999999995,-73.91769000000001,Broadway,Jefferson Avenue,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Turning Improperly,Unspecified,Unspecified,Unspecified,Other,Sedan,Unspecified,Unspecified,Unspecified
2020-09-18,13:00:00,Bronx,10468,40.869453,-73.89915,Reservoir Avenue,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-09-17,14:50:00,Queens,11357,40.786255,-73.81353,150 Street,15 Road,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-09-14,23:39:00,Brooklyn,11216,40.687244,-73.95469,Bedford Avenue,Unknown,1,0,1,0,0,0,0,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,Taxi,Unspecified,Unspecified,Unspecified,Unspecified
2020-09-12,05:50:00,Brooklyn,11203,40.656240000000004,-73.93669,Clarkson Avenue,Unknown,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-09-06,15:00:00,Brooklyn,11236,40.634914,-73.88453,East 102 Street,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-09-06,18:45:00,Brooklyn,11206,40.71043,-73.9437,Graham Avenue,Unknown,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-09-06,20:11:00,Bronx,10457,40.849846,-73.8955,Bathgate Avenue,Unknown,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,Unspecified,Unspecified,Unspecified,Taxi,Unspecified,Unspecified,Unspecified,Unspecified
2020-09-05,03:35:00,Brooklyn,11207,40.674095,-73.88994,Glenmore Avenue,Unknown,0,0,0,0,0,0,0,0,Tire Failure/Inadequate,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-09-04,00:26:00,Queens,11691,40.595245,-73.76958499999999,Beach 37 Street,Unknown,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-09-04,17:05:00,Queens,11374,40.729355,-73.86023,Queens Boulevard,64 Road,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-09-03,10:15:00,Brooklyn,11220,40.641987,-74.01724,58 Street,4 Avenue,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-09-02,02:30:00,Brooklyn,11214,40.60301,-74.01688399999999,Belt Parkway,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,Unspecified
2020-08-30,21:11:00,Queens,11377,40.740555,-73.92019,47-26 45 Street,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-08-29,15:50:00,Brooklyn,11226,40.637276,-73.95859499999999,Ocean Avenue,Unknown,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-08-22,16:13:00,Queens,11372,40.750633,-73.87581,91-02 37 Avenue,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-08-21,01:20:00,Staten Island,10301,40.61026,-74.09749599999999,Milford Drive,Unknown,2,0,0,0,0,0,2,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-08-20,00:00:00,Brooklyn,11201,40.69982,-73.99625400000001,Brooklyn Queens Expressway,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-08-20,04:26:00,Bronx,10451,40.826523,-73.93115999999999,Major Deegan Expressway,Unknown,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-08-18,08:45:00,Manhattan,10030,40.822834,-73.941925,West 145 Street,Unknown,1,0,0,0,1,0,0,0,Other Vehicular,Passing Too Closely,Unspecified,Unspecified,Unspecified,Pick-Up Truck,Bike,Unspecified,Unspecified,Unspecified
2020-08-17,19:30:00,Brooklyn,11225,40.665546,-73.9537,Rogers Avenue,Unknown,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-08-16,00:23:00,Brooklyn,11207,40.675734999999996,-73.89686,Pennsylvania Avenue,Unknown,1,0,0,0,0,0,1,0,Failure To Yield Right-Of-Way,Failure To Yield Right-Of-Way,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-08-16,13:30:00,Queens,11101,40.738533000000004,-73.93935,Long Island Expressway,Unknown,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,Unspecified,Unspecified,Pick-Up Truck,Sedan,Unspecified,Unspecified,Unspecified
2020-08-14,10:51:00,Staten Island,10314,40.608833000000004,-74.12118000000001,Manor Road,Schmidts Lane,0,0,0,0,0,0,0,1,Illnes,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-08-14,12:15:00,Bronx,10463,40.87397,-73.906494,Exterior Street,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-08-14,08:00:00,Brooklyn,11233,40.677696000000005,-73.91421,Herkimer Street,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-08-12,09:58:00,Queens,11692,40.59053,-73.804245,76-02 Beach Channel Drive,Unknown,3,0,0,0,0,0,3,0,Lost Consciousness,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,Unspecified
2020-08-10,13:43:00,Bronx,10467,40.876534,-73.87076,Bronx River Parkway,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-08-10,22:26:00,Bronx,10467,40.865429999999996,-73.86737,Allerton Avenue,White Plains Road,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Other,Unspecified,Unspecified,Unspecified,Unspecified
2020-08-06,18:25:00,Manhattan,10029,40.790253,-73.94564,East 104 Street,Unknown,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-08-06,06:30:00,Bronx,10452,40.842083,-73.92011,Jesup Avenue,Jesup Place,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Taxi,Unspecified,Unspecified,Unspecified,Unspecified
2020-08-04,18:15:00,Staten Island,10314,40.606003,-74.126915,Gansevoort Boulevard,Unknown,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-08-03,22:09:00,Bronx,10470,40.895527,-73.86348000000001,Webster Avenue,Unknown,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-08-03,04:33:00,Bronx,10453,40.851658,-73.92139399999999,Major Deegan Expressway,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Taxi,Unspecified,Unspecified,Unspecified
2020-08-02,01:20:00,Brooklyn,11249,40.72048,-73.960526,North 8 Street,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-08-01,19:03:00,Bronx,10465,40.827422999999996,-73.836754,Hutchinson River Parkway,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,Unspecified
2020-07-31,02:08:00,Brooklyn,11201,40.695015000000005,-73.98876,Adams Street,Unknown,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Box Truck,Unspecified,Unspecified,Unspecified,Unspecified
2020-07-30,11:55:00,Brooklyn,11206,40.692764000000004,-73.94579,Tompkins Avenue,Unknown,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-07-28,22:37:00,Manhattan,10026,40.797882,-73.94974,West 111 Street,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Taxi,Unspecified,Unspecified,Unspecified,Unspecified
2020-07-26,17:53:00,Bronx,10465,40.828920000000004,-73.83717,Hutchinson River Parkway,Unknown,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-07-26,04:00:00,Queens,11412,40.702538,-73.76531,190-24 110 Road,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-07-25,19:00:00,Brooklyn,11214,40.605556,-73.99369,21 Avenue,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-07-25,22:25:00,Brooklyn,11214,40.585346,-73.98754,Shore Parkway,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Unspecified,Unspecified,Unspecified,Unspecified
2020-07-21,23:45:00,Queens,11422,40.668625,-73.738235,Laurelton Parkway,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-07-20,12:55:00,Brooklyn,11203,40.641182,-73.944664,East 34 Street,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-07-19,20:10:00,Queens,11357,40.786003,-73.80219,Cross Island Parkway,Unknown,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Unspecified,Unspecified,Unspecified
2020-07-16,00:45:00,Bronx,10452,40.844916999999995,-73.926384,Cross Bronx Expy,Unknown,1,0,0,0,0,0,1,0,Reaction To Uninvolved Vehicle,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified
